symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
TATASTEEL,INE081A01020,2023-03-15,NSE,EQ,EQ,buy,false,47.000000,108.099998,75021371,1300000000176811,2023-03-15T09:15:01
TATASTEEL,INE081A01020,2023-03-15,NSE,EQ,EQ,buy,false,168.000000,108.099998,75021372,1300000000176811,2023-03-15T09:15:01
TATACHEM,INE092A01019,2023-03-15,NSE,EQ,EQ,buy,false,19.000000,977.000000,75021898,1300000000178821,2023-03-15T09:15:01
RELIANCE,INE002A01018,2023-03-15,NSE,EQ,EQ,buy,false,7.000000,2285.000000,75021368,1300000000176809,2023-03-15T09:15:01
TATACONSUM,INE192A01025,2023-03-15,NSE,EQ,EQ,buy,false,4.000000,697.000000,75021902,1300000000178822,2023-03-15T09:15:01
VOLTAS,INE226A01021,2023-03-15,NSE,EQ,EQ,buy,false,33.000000,883.650024,75021373,1300000000176812,2023-03-15T09:15:01
REDINGTON,INE891D01026,2023-03-15,NSE,EQ,EQ,buy,false,18.000000,162.449997,75021369,1300000000176810,2023-03-15T09:15:01
TATACONSUM,INE192A01025,2023-03-15,NSE,EQ,EQ,buy,false,4.000000,696.950012,75021901,1300000000178822,2023-03-15T09:15:01
TITAN,INE280A01028,2023-03-15,NSE,EQ,EQ,buy,false,13.000000,2388.449951,75021268,1300000000176501,2023-03-15T09:15:01
TATACONSUM,INE192A01025,2023-03-15,NSE,EQ,EQ,buy,false,25.000000,696.799988,75021899,1300000000178822,2023-03-15T09:15:01
TCS,INE467B01029,2023-03-15,NSE,EQ,EQ,buy,false,12.000000,3250.600098,75021896,1300000000178820,2023-03-15T09:15:01
REDINGTON,INE891D01026,2023-03-15,NSE,EQ,EQ,buy,false,85.000000,162.500000,75021370,1300000000176810,2023-03-15T09:15:01
TATACHEM,INE092A01019,2023-03-15,NSE,EQ,EQ,buy,false,5.000000,977.000000,75021897,1300000000178821,2023-03-15T09:15:01
TATACONSUM,INE192A01025,2023-03-15,NSE,EQ,EQ,buy,false,14.000000,696.900024,75021900,1300000000178822,2023-03-15T09:15:01
ASIANPAINT,INE021A01026,2023-03-15,NSE,EQ,EQ,buy,false,6.000000,2772.149902,15720,1000000000158596,2023-03-15T09:15:01
ASTRAL,INE006I01046,2023-03-15,NSE,EQ,EQ,buy,false,12.000000,1399.000000,15719,1000000000158595,2023-03-15T09:15:01
NIFTYBEES,INF204KB14I2,2023-03-15,NSE,EQ,EQ,buy,false,24.000000,188.399994,50014535,1200000000148892,2023-03-15T09:15:01
GOLDBEES,INF204KB17I5,2023-03-15,NSE,EQ,EQ,buy,false,1.000000,49.130001,25014581,1100000000158991,2023-03-15T09:15:01
HINDUNILVR,INE030A01027,2023-03-15,NSE,EQ,EQ,buy,false,7.000000,2451.899902,25015174,1100000000161688,2023-03-15T09:15:01
MARICO,INE196A01026,2023-03-15,NSE,EQ,EQ,buy,false,15.000000,486.750000,50014106,1200000000146882,2023-03-15T09:15:01
ITC,INE154A01025,2023-03-15,NSE,EQ,EQ,buy,false,44.000000,381.450012,25014584,1100000000158992,2023-03-15T09:15:01
