Ticker,Date,Closing Price
0P0000XUY3.BO,2026-01-02,274.614
0P0001NCLP.BO,2026-01-02,19.7535
0P0001NK4B.BO,2026-01-02,16.4145
ANGELONE.NS,2026-01-02,2387.9
APOLLOHOSP.NS,2026-01-02,7129.5
ASHR,2026-01-02,32.85
ASIANPAINT.NS,2026-01-02,2772.6
BAJFINANCE.NS,2026-01-02,990.45
CFLT,2026-01-02,30.24
CGPOWER.NS,2026-01-02,649.1
COFORGE.NS,2026-01-02,1650.3
COST,2026-01-02,862.34
DMART.NS,2026-01-02,3719.8
ENRIN.NS,2026-01-02,2546.7
ETERNAL.NS,2026-01-02,284.15
FIVESTAR.NS,2026-01-02,532.25
HDFCSML250.NS,2026-01-02,168.85
HINDUNILVR.NS,2026-01-02,2348.0
HNGSNGBEES.NS,2026-01-02,507.37
IEX.NS,2026-01-02,134.36
INF174KA1FQ7,2026-01-02,23.2181
INF209KB18C5,2026-01-02,18.778
INF959L01FV0,2026-01-02,19.1221
ITBEES.NS,2026-01-02,42.14
ITC.NS,2026-01-02,350.05
JUBLFOOD.NS,2026-01-02,552.95
KAYNES.NS,2026-01-02,3977.2
META,2026-01-02,660.09
MIDCAPETF.NS,2026-01-02,23.0
MOREALTY.NS,2026-01-02,89.69
MPHASIS.NS,2026-01-02,2807.2
NIFTYBEES.NS,2026-01-02,297.55
POLICYBZR.NS,2026-01-02,1781.8
QQQM,2026-01-02,252.92
SGBSEP29VI,2026-01-02,14725.76
SIEMENS.NS,2026-01-02,3097.7
SUNPHARMA.NS,2026-01-02,1728.0
TMUS,2026-01-02,203.04
UNITDSPR.NS,2026-01-02,1381.6
VOO,2026-01-02,627.13
