Ticker,Qty,Avg_Buy_Price,Total_Invested_INR,Realized_Profit_INR,Currency,Exchange_Rate,Is_SGB
AJANTPHARM.NS,35.0,1824.741427,63865.95,0.0,INR,1.0,False
APARINDS.NS,9.0,3413.727729,30723.55,32629.8,INR,1.0,False
APLAPOLLO.NS,58.0,1676.683612,97247.65,0.0,INR,1.0,False
ARVIND.NS,217.0,174.458295,37857.45,3004.9,INR,1.0,False
AUBANK.NS,2.0,750.225006,1500.45,4747.35,INR,1.0,False
AXISBANK.NS,2.0,1111.800049,2223.6,12336.96,INR,1.0,False
BANKBARODA.NS,5.0,223.149994,1115.75,4524.9,INR,1.0,False
BBL.NS,10.0,3017.659985,30176.6,0.0,INR,1.0,False
BLUESTARCO.NS,76.0,776.079599,58982.05,0.0,INR,1.0,False
BORORENEW.NS,87.0,446.939658,38883.75,0.0,INR,1.0,False
BPCL.NS,172.0,393.937788,67757.3,0.0,INR,1.0,False
BRIGADE.NS,174.0,587.856607,102287.05,0.0,INR,1.0,False
BSOFT.NS,120.0,565.274976,67833.0,0.0,INR,1.0,False
CIPLA.NS,53.0,1207.722656,64009.3,160.95,INR,1.0,False
COALINDIA.NS,175.0,337.678286,59093.7,0.0,INR,1.0,False
COFORGE.NS,14.0,5413.032087,75782.45,-251.8,INR,1.0,False
CYIENT.NS,37.0,1532.38241,56698.15,3600.6,INR,1.0,False
DBCORP.NS,185.0,242.547299,44871.25,0.0,INR,1.0,False
DLF.NS,157.0,508.966573,79907.75,0.0,INR,1.0,False
DRREDDY.NS,15.0,5378.690006,80680.35,0.0,INR,1.0,False
EMBASSY.NS,189.0,316.046981,59732.88,-490.67,INR,1.0,False
ERIS.NS,104.0,879.860095,91505.45,-156.5,INR,1.0,False
EXIDEIND.NS,271.0,220.148708,59660.3,0.0,INR,1.0,False
FEDERALBNK.NS,9.0,155.100006,1395.9,5437.45,INR,1.0,False
FIEMIND.NS,23.0,1726.197839,39702.55,0.0,INR,1.0,False
GAIL.NS,378.0,125.271166,47352.5,0.0,INR,1.0,False
GANECOS.NS,55.0,927.214544,50996.8,0.0,INR,1.0,False
GODREJPROP.NS,51.0,1545.168625,78803.6,0.0,INR,1.0,False
GOKEX.NS,47.0,1004.549988,47213.85,0.0,INR,1.0,False
GPPL.NS,539.0,116.960576,63041.75,0.0,INR,1.0,False
GRANULES.NS,170.0,349.393827,59396.95,-467.55,INR,1.0,False
GRAVITA.NS,35.0,535.510004,18742.85,0.0,INR,1.0,False
GSPL.NS,243.0,283.578809,68909.65,-331.55,INR,1.0,False
HCLTECH.NS,192.0,1295.414566,248719.6,0.0,INR,1.0,False
HDFCBANK.NS,2.0,1652.650024,3305.3,8917.7,INR,1.0,False
HINDALCO.NS,142.0,502.20846,71313.6,0.0,INR,1.0,False
ICICIBANK.NS,2.0,1027.699951,2055.4,8573.8,INR,1.0,False
INDHOTEL.NS,173.0,356.832951,61732.1,2610.5,INR,1.0,False
