Date,Ticker,Country,Type,Qty,Price,Currency
2024-05-22,NIYOGIN.BO,IND,BUY,1,73.99,INR
2024-06-05,RAYMOND.NS,IND,BUY,7,2062.36,INR
2024-06-05,RAYMOND.NS,IND,BUY,64,2100.96,INR
2024-06-05,SHAILY.NS,IND,BUY,454,595.04,INR
2024-06-05,RADICO.NS,IND,BUY,95,1631.92,INR
2024-06-05,IWEL.NS,IND,BUY,11,6682.7,INR
2024-06-05,RADICO.NS,IND,BUY,109,1617.07,INR
2024-06-05,GENUSPOWER.NS,IND,BUY,859,274.75,INR
2024-06-05,SCHNEIDER.NS,IND,BUY,238,649.9,INR
2024-06-05,BETA.NS,IND,BUY,100,1194.85,INR
2024-06-05,TARIL.NS,IND,BUY,265,663.35,INR
2024-06-05,OMINFRAL.NS,IND,BUY,1240,103.36,INR
2024-06-05,SANGAMIND.NS,IND,BUY,129,350.25,INR
2024-06-05,TAALENT.BO,IND,BUY,33,2424.47,INR
2024-06-05,BSE.NS,IND,BUY,145,2477.76,INR
2024-06-05,SARDAEN.NS,IND,BUY,835,207.84,INR
2024-06-05,CHOICEIN.NS,IND,BUY,1242,324.87,INR
2024-06-05,ELECON.NS,IND,BUY,165,998.61,INR
2024-06-05,DCXINDIA.NS,IND,BUY,254,262.55,INR
2024-06-10,IIFLCAPS.NS,IND,BUY,875,214.31,INR
2024-06-10,NUVAMA.NS,IND,BUY,32,5113.85,INR
2024-06-10,TAALENT.BO,IND,BUY,31,2662.77,INR
2024-06-10,TITAN.NS,IND,BUY,148,3412.46,INR
2024-06-10,GRAVITA.NS,IND,BUY,158,1116.37,INR
2024-06-10,MKVENTURE.BO,IND,BUY,28,2413.05,INR
2024-06-10,MKVENTURE.BO,IND,BUY,108,2502.91,INR
2024-06-10,SBCL.NS,IND,BUY,589,530.87,INR
2024-06-10,METROBRAND.NS,IND,BUY,81,1146.65,INR
2024-06-10,IDFC.NS,IND,BUY,2190,114.57,INR
2024-06-10,NEULANDLAB.NS,IND,BUY,13,6281.19,INR
2024-06-10,INDOSTAR.NS,IND,BUY,155,236.97,INR
2024-06-10,CONCORDBIO.NS,IND,BUY,77,1449.76,INR
2024-06-10,SUDARSCHEM.NS,IND,BUY,174,789.95,INR
2024-06-11,TEJASNET.NS,IND,BUY,263,1295.0,INR
2024-06-11,MASTEK.NS,IND,BUY,85,2764.08,INR
2024-06-11,ROUTE.NS,IND,BUY,136,1564.75,INR
2024-06-11,VAIBHAVGBL.NS,IND,BUY,347,320.14,INR
2024-06-11,PCBL.NS,IND,BUY,728,243.12,INR
2024-06-11,SHRIPISTON.NS,IND,BUY,95,2030.16,INR
2024-06-11,QUESS.NS,IND,BUY,225,604.97,INR
2024-06-11,SAFARI.NS,IND,BUY,95,2011.42,INR
2024-06-11,GLENMARK.NS,IND,BUY,257,1204.42,INR
2024-06-11,SKIPPER.NS,IND,BUY,255,327.98,INR
2024-06-11,ATULAUTO.NS,IND,BUY,527,543.0,INR
2024-06-11,TMPV.NS,IND,BUY,130,969.25,INR
2024-06-11,EQUITASBNK.NS,IND,BUY,1520,97.79,INR
2024-06-12,NAVINFLUOR.NS,IND,BUY,70,3485.0,INR
2024-06-12,ELECON.NS,IND,BUY,288,1186.5,INR
2024-06-12,LINC.NS,IND,BUY,375,596.3,INR
2024-06-12,IDFC.NS,IND,BUY,1030,113.91,INR
2024-06-13,FLUOROCHEM.NS,IND,BUY,151,3250.0,INR
2024-06-13,M&MFIN.NS,IND,BUY,500,291.0,INR
2024-06-13,NEULANDLAB.NS,IND,BUY,26,6399.0,INR
2024-06-13,LINCOLN.NS,IND,BUY,250,631.0,INR
2024-06-14,STARHEALTH.NS,IND,BUY,307,519.9,INR
2024-07-22,MKVENTURE.BO,IND,SELL,12,2111.62,INR
2024-07-22,IIFLCAPS.NS,IND,SELL,875,187.45,INR
2024-07-22,MKVENTURE.BO,IND,SELL,124,2084.65,INR
2024-07-22,NIYOGIN.BO,IND,SELL,1,66.13,INR
2024-07-22,BSE.NS,IND,SELL,145,2265.22,INR
2024-07-22,EQUITASBNK.NS,IND,SELL,1520,89.75,INR
2024-07-22,NUVAMA.NS,IND,SELL,32,4780.31,INR
2024-07-22,BETA.NS,IND,SELL,100,1300.05,INR
2024-07-22,ATULAUTO.NS,IND,SELL,527,712.92,INR
2024-07-22,CHOICEIN.NS,IND,SELL,1242,373.8,INR
2024-07-22,CONCORDBIO.NS,IND,SELL,77,1690.56,INR
2024-07-22,DCXINDIA.NS,IND,SELL,254,394.0,INR
2024-07-22,ELECON.NS,IND,SELL,906,637.68,INR
2024-07-22,GENUSPOWER.NS,IND,SELL,859,352.67,INR
2024-07-22,GLENMARK.NS,IND,SELL,257,1418.01,INR
2024-07-22,GRAVITA.NS,IND,SELL,158,1462.34,INR
