Date,Ticker,Country,Type,Qty,Price,Currency
2025-12-12,COST,US,BUY,4,883.5,USD
2025-12-12,COST,US,BUY,6,883.5,USD
2025-12-12,COST,US,BUY,0.1869,882.63,USD
2025-12-12,TMUS,US,BUY,66,195.5,USD
2025-12-12,TMUS,US,BUY,0.4961,195.5,USD
2025-10-06,QQQM,US,BUY,56,249.865,USD
2025-10-06,QQQM,US,BUY,0.3304,249.865,USD
2025-06-02,QQQM,US,BUY,0.3743,213.7,USD
2025-06-02,QQQM,US,BUY,54,213.97,USD
2025-06-02,QQQM,US,BUY,0.2132,213.97,USD
2025-04-22,ASHR,US,BUY,0.0122,25.8,USD
2025-04-22,ASHR,US,BUY,5,25.78,USD
2025-04-22,ASHR,US,BUY,1,25.785,USD
2025-04-07,QQQM,US,BUY,49,173.06,USD
2025-03-07,QQQM,US,BUY,0.0741,199.51,USD
2025-03-07,QQQM,US,BUY,30,199.507,USD
2025-03-03,VOO,US,BUY,0.4806,548.79,USD
2025-03-03,VOO,US,BUY,4.00E-04,547.51,USD
2025-01-29,QQQM,US,BUY,4,214.06,USD
2025-01-29,QQQM,US,BUY,1.00E-04,214.05,USD
2025-01-29,QQQM,US,BUY,0.9051,214.05,USD
