Date,Ticker,Country,Type,Qty,Price,Currency
2023-03-15,TATASTEEL.NS,IND,BUY,47,108.099998,INR
2023-03-15,TATASTEEL.NS,IND,BUY,168,108.099998,INR
2023-03-15,TATACHEM.NS,IND,BUY,19,977.0,INR
2023-03-15,RELIANCE.NS,IND,BUY,7,2285.0,INR
2023-03-15,TATACONSUM.NS,IND,BUY,4,697.0,INR
2023-03-15,VOLTAS.NS,IND,BUY,33,883.650024,INR
2023-03-15,REDINGTON.NS,IND,BUY,18,162.449997,INR
2023-03-15,TATACONSUM.NS,IND,BUY,4,696.950012,INR
2023-03-15,TITAN.NS,IND,BUY,13,2388.449951,INR
2023-03-15,TATACONSUM.NS,IND,BUY,25,696.799988,INR
2023-03-15,TCS.NS,IND,BUY,12,3250.600098,INR
2023-03-15,REDINGTON.NS,IND,BUY,85,162.5,INR
2023-03-15,TATACHEM.NS,IND,BUY,5,977.0,INR
2023-03-15,TATACONSUM.NS,IND,BUY,14,696.900024,INR
2023-03-15,ASIANPAINT.NS,IND,BUY,6,2772.149902,INR
2023-03-15,ASTRAL.NS,IND,BUY,12,1399.0,INR
2023-03-15,NIFTYBEES.NS,IND,BUY,24,188.399994,INR
2023-03-15,GOLDBEES.NS,IND,BUY,1,49.130001,INR
2023-03-15,HINDUNILVR.NS,IND,BUY,7,2451.899902,INR
2023-03-15,MARICO.NS,IND,BUY,15,486.75,INR
2023-03-15,ITC.NS,IND,BUY,44,381.450012,INR
2023-03-15,GOLDBEES.NS,IND,BUY,1,49.130001,INR
2023-03-15,TATAPOWER.NS,IND,BUY,92,204.949997,INR
2023-03-15,TATAPOWER.NS,IND,BUY,18,204.899994,INR
2023-03-15,GOLDBEES.NS,IND,BUY,44,49.130001,INR
2023-03-15,MARICO.NS,IND,BUY,18,487.100006,INR
2023-03-15,INFY.NS,IND,BUY,12,1438.0,INR
2023-03-15,GOLDBEES.NS,IND,BUY,812,49.130001,INR
2023-03-15,JUNIORBEES.NS,IND,BUY,28,398.429993,INR
2023-03-15,JUNIORBEES.NS,IND,BUY,18,398.420013,INR
2023-03-15,GOLDBEES.NS,IND,BUY,403,49.139999,INR
