Date,Ticker,Country,Type,Qty,Price,Currency
2025-12-02,0P0001O7CN.BO,IND,SELL,59715.62,16.42,INR
2025-12-02,0P0001MSVD.BO,IND,SELL,94707.18,17.05,INR
2025-04-25,0P0001OEZB.BO,IND,SELL,85130.01,15.61,INR
2025-04-25,0P0001RCYN.BO,IND,SELL,86282.98,14.3,INR
2025-04-25,N0P0001OAEY.BO,IND,SELL,93147.78,14.28,INR
2025-02-11,0P0001784M.BO,IND,SELL,9650.16,45.81,INR
2025-02-11,0P0001TE4J.BO,IND,SELL,99995.0,8.57,INR
2025-02-11,0P0001SN1X.BO,IND,SELL,69240.5,8.88,INR
2025-01-29,0P0000XUY3.BO,IND,BUY,1658.94,241.11,INR
2025-01-29,0P0001NK4B.BO,IND,BUY,27455.69,14.57,INR
2025-01-27,0P0000XUY3.BO,IND,BUY,4208.33,237.61,INR
2025-01-27,0P0001NK4B.BO,IND,BUY,70231.57,14.24,INR
2025-01-22,0P0001BA95.BO,IND,SELL,102368.31,31.69,INR
2025-01-17,0P0000XUY3.BO,IND,BUY,10350.6,241.52,INR
2025-01-14,0P0001BA95.BO,IND,SELL,79157.51,31.58,INR
2025-01-09,0P0000XUY3.BO,IND,BUY,4086.92,244.67,INR
2025-01-09,0P0001NK4B.BO,IND,BUY,65056.02,15.37,INR
2025-01-08,0P0001BA95.BO,IND,SELL,63295.14,31.6,INR
2024-11-13,0P0000XUY3.BO,IND,BUY,8161.31,245.05,INR
2024-11-13,0P0001NK4B.BO,IND,BUY,126936.67,15.76,INR
2024-10-30,0P0001NK4B.BO,IND,BUY,151577.39,16.49,INR
2024-10-22,0P0001O7CN.BO,IND,BUY,59715.62,16.75,INR
2024-10-22,0P0001MSVD.BO,IND,BUY,94707.18,15.84,INR
2024-08-14,0P0001BA95.BO,IND,BUY,244820.96,30.63,INR
2024-08-12,0P0001NCLP.BO,IND,BUY,73852.1,13.54,INR
2024-08-12,0P0001TE4J.BO,IND,BUY,99995.0,10.0,INR
2024-08-12,0P0001SN1X.BO,IND,BUY,46737.56,10.7,INR
2024-07-31,0P0001OEZB.BO,IND,BUY,67927.69,14.72,INR
2024-07-31,0P0001RCYN.BO,IND,BUY,74925.07,13.35,INR
2024-07-31,N0P0001OAEY.BO,IND,BUY,74325.83,13.45,INR
2024-07-26,0P0001RCYN.BO,IND,BUY,11357.91,13.21,INR
2024-07-26,0P0001SN1X.BO,IND,BUY,22502.95,11.11,INR
2024-07-25,0P0001784M.BO,IND,BUY,9650.16,51.81,INR
2024-07-25,0P0001OEZB.BO,IND,BUY,17202.32,14.53,INR
2024-07-25,N0P0001OAEY.BO,IND,BUY,18821.95,13.28,INR
