Date,Ticker,Country,Type,Qty,Price,Currency
2025-12-12,COST,US,BUY,4,875,USD
2025-12-12,COST,US,BUY,0.5714,874.93,USD
2025-11-05,META,US,BUY,48,629.755,USD
2025-11-05,META,US,BUY,0.0345,629.72,USD
2025-08-01,QQQM,US,BUY,30,229.37,USD
2025-08-01,QQQM,US,BUY,10,229.425,USD
2025-08-01,QQQM,US,BUY,1,229.29,USD
2025-06-02,QQQM,US,BUY,0.8988,213.9599,USD
2025-06-02,QQQM,US,BUY,108,213.96,USD
2025-04-23,ASHR,US,BUY,0.1545,25.88,USD
2025-04-14,QQQM,US,BUY,43,187.178,USD
2025-04-14,QQQM,US,BUY,0.7016,187.189,USD
2025-04-09,QQQM,US,BUY,84,172.55,USD
2025-04-09,QQQM,US,BUY,0.0336,172.55,USD
2025-03-03,QQQM,US,BUY,0.0001,210.46,USD
2025-03-03,QQQM,US,BUY,4,210.52,USD
2025-03-03,QQQM,US,BUY,0.9877,210.48,USD
2025-01-29,VOO,US,BUY,0.4763,554.16,USD
