Date,Ticker,Country,Type,Qty,Price,Currency
2025-06-11,CYIENT.NS,IND,BUY,3,1344.400024,INR
2025-06-11,CYIENT.NS,IND,BUY,56,1344.400024,INR
2025-06-11,CYIENT.NS,IND,BUY,115,1344.400024,INR
2025-06-11,CYIENT.NS,IND,BUY,57,1344.400024,INR
2025-06-11,CYIENT.NS,IND,BUY,100,1344.400024,INR
2025-06-11,CYIENT.NS,IND,BUY,1,1344.400024,INR
2025-06-11,CYIENT.NS,IND,BUY,8,1344.400024,INR
2025-06-11,CYIENT.NS,IND,BUY,1,1344.400024,INR
2025-06-11,CYIENT.NS,IND,BUY,10,1344.400024,INR
2025-06-11,CYIENT.NS,IND,BUY,7,1344.400024,INR
2025-06-11,CYIENT.NS,IND,BUY,12,1344.400024,INR
2025-06-11,TCS.NS,IND,BUY,145,3473.399902,INR
2025-06-12,LIQUIDCASE.NS,IND,BUY,31200,109.0,INR
2025-06-12,INFY.NS,IND,BUY,19,1605.400024,INR
2025-06-12,INFY.NS,IND,BUY,145,1605.5,INR
2025-06-12,INFY.NS,IND,BUY,109,1605.800049,INR
2025-06-12,INFY.NS,IND,BUY,38,1605.599976,INR
2025-06-12,WIPRO.NS,IND,BUY,205,257.5,INR
2025-06-12,WIPRO.NS,IND,BUY,1732,257.5,INR
2025-06-12,WIPRO.NS,IND,BUY,2,257.5,INR
2025-06-12,WIPRO.NS,IND,BUY,1,257.5,INR
2025-06-12,HCLTECH.NS,IND,BUY,178,1710.199951,INR
2025-06-12,HCLTECH.NS,IND,BUY,117,1710.199951,INR
2025-06-12,TCS.NS,IND,BUY,5,3461.399902,INR
2025-06-12,TCS.NS,IND,BUY,22,3461.399902,INR
2025-06-20,LIQUIDCASE.NS,IND,SELL,5000,109.129997,INR
2025-06-20,VBL.NS,IND,BUY,60,456.399994,INR
2025-06-20,VBL.NS,IND,BUY,126,456.450012,INR
2025-06-20,VBL.NS,IND,BUY,30,456.450012,INR
2025-06-20,VBL.NS,IND,BUY,126,456.399994,INR
2025-06-20,VBL.NS,IND,BUY,25,456.450012,INR
2025-06-20,VBL.NS,IND,BUY,105,456.399994,INR
2025-06-20,VBL.NS,IND,BUY,120,456.399994,INR
2025-06-20,VBL.NS,IND,BUY,118,456.450012,INR
2025-06-20,VBL.NS,IND,BUY,25,456.399994,INR
2025-06-20,VBL.NS,IND,BUY,11,456.399994,INR
2025-06-20,VBL.NS,IND,BUY,128,456.450012,INR
2025-06-20,VBL.NS,IND,BUY,10,456.450012,INR
2025-06-20,VBL.NS,IND,BUY,38,456.450012,INR
2025-06-20,VBL.NS,IND,BUY,45,456.200012,INR
2025-06-20,VBL.NS,IND,BUY,10,456.450012,INR
2025-06-20,VBL.NS,IND,BUY,95,456.399994,INR
2025-06-20,VBL.NS,IND,BUY,113,456.399994,INR
2025-08-21,LIQUIDCASE.NS,IND,SELL,600,110.040001,INR
2025-08-21,LIQUIDCASE.NS,IND,SELL,5000,110.040001,INR
2025-08-21,LIQUIDCASE.NS,IND,SELL,20600,110.040001,INR
2025-08-21,NIFTYBEES.NS,IND,BUY,16,283.079987,INR
2025-08-21,NIFTYBEES.NS,IND,BUY,90,283.119995,INR
2025-08-21,NIFTYBEES.NS,IND,BUY,90,283.040009,INR
2025-08-21,NIFTYBEES.NS,IND,BUY,720,283.100006,INR
2025-08-21,NIFTYBEES.NS,IND,BUY,55,283.100006,INR
2025-08-21,NIFTYBEES.NS,IND,BUY,1565,283.040009,INR
2025-08-21,NIFTYBEES.NS,IND,BUY,55,283.040009,INR
2025-08-21,NIFTYBEES.NS,IND,BUY,50,283.089996,INR
2025-08-21,NIFTYBEES.NS,IND,BUY,280,283.140015,INR
2025-08-21,NIFTYBEES.NS,IND,BUY,271,283.100006,INR
2025-08-21,NIFTYBEES.NS,IND,BUY,247,283.079987,INR
2025-08-21,NIFTYBEES.NS,IND,BUY,20,283.100006,INR
2025-08-21,NIFTYBEES.NS,IND,BUY,19,283.079987,INR
2025-08-21,NIFTYBEES.NS,IND,BUY,1000,283.109985,INR
2025-08-21,NIFTYBEES.NS,IND,BUY,100,283.149994,INR
2025-08-21,NIFTYBEES.NS,IND,BUY,1108,283.100006,INR
2025-08-21,NIFTYBEES.NS,IND,BUY,15,283.140015,INR
2025-08-21,NIFTYBEES.NS,IND,BUY,180,283.100006,INR
2025-08-21,NIFTYBEES.NS,IND,BUY,1619,283.160004,INR
2025-08-21,NIFTYBEES.NS,IND,BUY,500,283.140015,INR
2025-10-13,CYIENT.NS,IND,SELL,1,1163.400024,INR
2025-10-13,CYIENT.NS,IND,SELL,98,1163.449951,INR
2025-10-13,CYIENT.NS,IND,SELL,72,1163.5,INR
2025-10-13,CYIENT.NS,IND,SELL,7,1163.650024,INR
2025-10-13,CYIENT.NS,IND,SELL,5,1163.550049,INR
2025-10-13,CYIENT.NS,IND,SELL,40,1163.099976,INR
2025-10-13,CYIENT.NS,IND,SELL,39,1163.349976,INR
2025-10-13,CYIENT.NS,IND,SELL,28,1163.150024,INR
2025-10-13,CYIENT.NS,IND,SELL,22,1163.0,INR
2025-10-13,CYIENT.NS,IND,SELL,2,1163.199951,INR
2025-10-13,CYIENT.NS,IND,SELL,21,1163.25,INR
2025-10-13,CYIENT.NS,IND,SELL,14,1162.949951,INR
2025-10-13,CYIENT.NS,IND,SELL,11,1163.699951,INR
2025-10-13,CYIENT.NS,IND,SELL,10,1163.599976,INR
2025-10-13,HCLTECH.NS,IND,SELL,6,1487.400024,INR
2025-10-13,HCLTECH.NS,IND,SELL,57,1487.400024,INR
2025-10-13,HCLTECH.NS,IND,SELL,5,1487.400024,INR
2025-10-13,HCLTECH.NS,IND,SELL,21,1487.400024,INR
2025-10-13,HCLTECH.NS,IND,SELL,174,1487.400024,INR
2025-10-13,HCLTECH.NS,IND,SELL,17,1487.300049,INR
2025-10-13,HCLTECH.NS,IND,SELL,15,1487.400024,INR
2025-10-13,INFY.NS,IND,SELL,311,1498.099976,INR
2025-10-13,TCS.NS,IND,SELL,97,3021.75,INR
2025-10-13,TCS.NS,IND,SELL,47,3022.0,INR
2025-10-13,TCS.NS,IND,SELL,15,3021.5,INR
2025-10-13,TCS.NS,IND,SELL,12,3021.449951,INR
2025-10-13,TCS.NS,IND,SELL,1,3021.600098,INR
2025-10-13,VBL.NS,IND,SELL,58,444.600006,INR
2025-10-13,VBL.NS,IND,SELL,438,444.549988,INR
2025-10-13,VBL.NS,IND,SELL,609,444.649994,INR
2025-10-13,VBL.NS,IND,SELL,80,444.700012,INR
2025-10-13,WIPRO.NS,IND,SELL,15,245.770004,INR
2025-10-13,WIPRO.NS,IND,SELL,2,245.75,INR
2025-10-13,WIPRO.NS,IND,SELL,2,245.75,INR
2025-10-13,WIPRO.NS,IND,SELL,2,245.75,INR
2025-10-13,WIPRO.NS,IND,SELL,184,245.75,INR
2025-10-13,WIPRO.NS,IND,SELL,181,245.75,INR
2025-10-13,WIPRO.NS,IND,SELL,174,245.729996,INR
2025-10-13,WIPRO.NS,IND,SELL,161,245.75,INR
2025-10-13,WIPRO.NS,IND,SELL,161,245.729996,INR
2025-10-13,WIPRO.NS,IND,SELL,11,245.75,INR
2025-10-13,WIPRO.NS,IND,SELL,1,245.729996,INR
2025-10-13,WIPRO.NS,IND,SELL,1,245.740005,INR
2025-10-13,WIPRO.NS,IND,SELL,1,245.75,INR
2025-10-13,WIPRO.NS,IND,SELL,124,245.729996,INR
2025-10-13,WIPRO.NS,IND,SELL,13,245.770004,INR
2025-10-13,WIPRO.NS,IND,SELL,51,245.740005,INR
2025-10-13,WIPRO.NS,IND,SELL,46,245.75,INR
2025-10-13,WIPRO.NS,IND,SELL,45,245.75,INR
2025-10-13,WIPRO.NS,IND,SELL,404,245.729996,INR
2025-10-13,WIPRO.NS,IND,SELL,35,245.729996,INR
2025-10-13,WIPRO.NS,IND,SELL,34,245.729996,INR
2025-10-13,WIPRO.NS,IND,SELL,28,245.75,INR
2025-10-13,WIPRO.NS,IND,SELL,24,245.75,INR
2025-10-13,WIPRO.NS,IND,SELL,23,245.75,INR
2025-10-13,WIPRO.NS,IND,SELL,23,245.75,INR
2025-10-13,WIPRO.NS,IND,SELL,23,245.75,INR
2025-10-13,WIPRO.NS,IND,SELL,2,245.75,INR
2025-10-13,WIPRO.NS,IND,SELL,15,245.770004,INR
2025-10-13,WIPRO.NS,IND,SELL,8,245.770004,INR
2025-10-13,WIPRO.NS,IND,SELL,80,245.720001,INR
2025-10-13,WIPRO.NS,IND,SELL,66,245.729996,INR
2025-12-05,HDFCSML250.NS,IND,BUY,100,167.080002,INR
2025-12-05,HDFCSML250.NS,IND,BUY,99,167.080002,INR
2025-12-05,HDFCSML250.NS,IND,BUY,118,167.080002,INR
2025-12-05,HDFCSML250.NS,IND,BUY,118,167.080002,INR
2025-12-05,HDFCSML250.NS,IND,BUY,118,167.080002,INR
2025-12-05,HDFCSML250.NS,IND,BUY,118,167.080002,INR
2025-12-05,HDFCSML250.NS,IND,BUY,118,167.080002,INR
2025-12-05,HDFCSML250.NS,IND,BUY,118,167.080002,INR
2025-12-05,HDFCSML250.NS,IND,BUY,118,167.080002,INR
2025-12-05,HDFCSML250.NS,IND,BUY,118,167.080002,INR
2025-12-05,HDFCSML250.NS,IND,BUY,118,167.080002,INR
2025-12-05,HDFCSML250.NS,IND,BUY,118,167.080002,INR
2025-12-05,HDFCSML250.NS,IND,BUY,118,167.080002,INR
2025-12-05,HDFCSML250.NS,IND,BUY,118,167.080002,INR
2025-12-05,HDFCSML250.NS,IND,BUY,118,167.080002,INR
2025-12-05,HDFCSML250.NS,IND,BUY,118,167.080002,INR
2025-12-05,HDFCSML250.NS,IND,BUY,118,167.080002,INR
2025-12-05,HDFCSML250.NS,IND,BUY,118,167.080002,INR
2025-12-05,HDFCSML250.NS,IND,BUY,118,167.080002,INR
2025-12-05,HDFCSML250.NS,IND,BUY,118,167.080002,INR
2025-12-05,HDFCSML250.NS,IND,BUY,118,167.080002,INR
2025-12-05,HDFCSML250.NS,IND,BUY,118,167.080002,INR
2025-12-05,HDFCSML250.NS,IND,BUY,118,167.080002,INR
2025-12-05,HDFCSML250.NS,IND,BUY,118,167.080002,INR
2025-12-05,HDFCSML250.NS,IND,BUY,118,167.080002,INR
2025-12-05,HDFCSML250.NS,IND,BUY,118,167.080002,INR
2025-12-05,HDFCSML250.NS,IND,BUY,106,167.080002,INR
2025-12-05,HDFCSML250.NS,IND,BUY,118,167.080002,INR
2025-12-05,HDFCSML250.NS,IND,BUY,118,167.080002,INR
2025-12-05,HDFCSML250.NS,IND,BUY,118,167.080002,INR
2025-12-05,HDFCSML250.NS,IND,BUY,118,167.080002,INR
2025-12-05,HDFCSML250.NS,IND,BUY,118,167.080002,INR
2025-12-05,HDFCSML250.NS,IND,BUY,118,167.080002,INR
2025-12-05,HDFCSML250.NS,IND,BUY,118,167.080002,INR
2025-12-05,HDFCSML250.NS,IND,BUY,118,167.080002,INR
2025-12-05,HDFCSML250.NS,IND,BUY,118,167.080002,INR
2025-12-05,HDFCSML250.NS,IND,BUY,15,167.080002,INR
2025-12-05,HDFCSML250.NS,IND,BUY,1674,167.080002,INR
2025-12-05,HDFCSML250.NS,IND,BUY,174,167.080002,INR
2025-12-05,HDFCSML250.NS,IND,BUY,187,167.080002,INR
2025-12-05,HDFCSML250.NS,IND,BUY,197,167.080002,INR
2025-12-05,HDFCSML250.NS,IND,BUY,2031,167.080002,INR
2025-12-05,HDFCSML250.NS,IND,BUY,2389,167.080002,INR
2025-12-05,HDFCSML250.NS,IND,BUY,2389,167.080002,INR
2025-12-05,HDFCSML250.NS,IND,BUY,2389,167.080002,INR
2025-12-05,HDFCSML250.NS,IND,BUY,2395,167.080002,INR
